"route","day","tonnes"
"601 Route 1A (NEW)","2018-02-11",4.14
"602 Route 2A (NEW)","2018-02-11",3.24
"605 Route 5A (NEW)","2018-03-15",1.6
"501 Route 1 (NEW)","2018-01-04",8.8
"504 Route 4 (NEW )","2018-01-13",6.26
"505 Route 5 (NEW)","2018-01-13",0.36
"501 Route 1 (NEW)","2018-01-30",2.74
"506 Route 6 (NEW)","2018-01-31",1.9
"501 Route 1 (NEW)","2018-02-01",3.78
"501 Route 1 (NEW)","2018-02-11",8.22
"501 Route 1 (NEW)","2018-02-12",11.48
"506 Route 6 (NEW)","2018-02-14",2.24
"502 Route 2 (NEW)","2018-02-24",8.58
"505 Route 5 (NEW)","2018-02-24",7.82
"502 Route 2 (NEW)","2018-02-25",7.2
"502 Route 2 (NEW)","2018-02-26",10.32
"506 Route 6 (NEW)","2018-02-27",3.68
"502 Route 2 (NEW)","2018-03-09",3.08
"501 Route 1 (NEW)","2018-03-10",2.94
"507 Route 7 (NEW )","2018-03-12",1.2
"506 Route 6 (NEW)","2018-03-16",0.02
"505 Route 5 (NEW)","2018-03-27",1.86
"506 Route 6 (NEW)","2018-03-29",10.58
"504 Route 4 (NEW )","2018-04-04",15.32
"503 Route 3 (NEW)","2018-04-05",16.26
"502 Route 2 (NEW)","2018-04-06",9.78
"505 Route 5 (NEW)","2018-04-06",7.76
"501 Route 1 (NEW)","2018-04-16",15.14
"501 Route 1 (NEW)","2018-04-19",26.3
"504 Route 4 (NEW )","2018-04-19",20.48
"504 Route 4 (NEW )","2018-04-20",12.26
"502 Route 2 (NEW)","2018-04-21",18.26
"506 Route 6 (NEW)","2018-04-21",2.24
"189 Missed Bins","2018-04-22",1.62
"189 Missed Bins","2018-04-30",9.68
"506 Route 6 (NEW)","2018-05-01",2.42
"503 Route 3 (NEW)","2018-05-02",27.8
"506 Route 6 (NEW)","2018-05-04",9.96
"501 Route 1 (NEW)","2018-05-14",23.6
"507 Route 7 (NEW )","2018-05-19",2.58
"504 Route 4 (NEW )","2018-05-30",8.46
"506 Route 6 (NEW)","2018-06-03",4.48
"506 Route 6 (NEW)","2018-06-05",10.42
"506 Route 6 (NEW)","2018-06-11",4.6
"601 Route 1A (NEW)","2018-04-10",4.8
"604 Route 4A (NEW)","2018-04-10",9.56
"602 Route 2A (NEW)","2018-04-11",8.84
"189 Missed Bins","2018-04-12",9.44
"189 Missed Bins","2018-04-26",13.58
"604 Route 4A (NEW)","2018-05-08",9.1
"604 Route 4A (NEW)","2018-05-10",12.7
"601 Route 1A (NEW)","2018-05-11",7.98
"605 Route 5A (NEW)","2018-05-12",5.04
"606 Route 6A  (NEW)","2018-05-13",4.28
"189 Missed Bins","2018-06-08",14.72
"605 Route 5A (NEW)","2018-03-30",2.74
"602 Route 2A (NEW)","2018-04-07",4.32
"189 Missed Bins","2018-04-11",0.28
"606 Route 6A  (NEW)","2018-04-17",0.42
"601 Route 1A (NEW)","2018-04-19",0.6
"604 Route 4A (NEW)","2018-04-19",2.62
"602 Route 2A (NEW)","2018-05-16",2.24
"603 Route 3A (NEW)","2018-05-28",2.0
"604 Route 4A (NEW)","2018-05-29",2.24
"601 Route 1A (NEW)","2018-04-23",6.62
"604 Route 4A (NEW)","2018-05-22",4.86
"502 Route 2 (NEW)","2018-04-25",19.32
"502 Route 2 (NEW)","2018-05-09",22.9
"502 Route 2 (NEW)","2018-05-22",18.78
"502 Route 2 (NEW)","2018-06-10",8.26
"503 Route 3 (NEW)","2018-06-25",16.76
"506 Route 6 (NEW)","2018-07-02",1.42
"502 Route 2 (NEW)","2018-07-11",19.54
"506 Route 6 (NEW)","2018-08-08",7.14
"506 Route 6 (NEW)","2018-08-11",3.22
"506 Route 6 (NEW)","2018-08-13",3.14
"502 Route 2 (NEW)","2018-08-24",13.56
"602 Route 2A (NEW)","2018-07-03",7.82
"602 Route 2A (NEW)","2018-07-18",8.44
"604 Route 4A (NEW)","2018-07-30",8.72
"601 Route 1A (NEW)","2018-06-13",2.54
"606 Route 6A  (NEW)","2018-06-27",0.68
"604 Route 4A (NEW)","2018-08-24",1.66
"606 Route 6A  (NEW)","2018-08-26",2.64
"601 Route 1A (NEW)","2018-06-20",4.68
"603 Route 3A (NEW)","2018-07-22",3.14
"601 Route 1A (NEW)","2018-08-15",4.48
"503 Route 3 (NEW)","2018-07-21",21.54
"502 Route 2 (NEW)","2018-10-06",11.64
"502 Route 2 (NEW)","2018-11-04",10.14
"602 Route 2A (NEW)","2018-09-23",1.7
"601 Route 1A (NEW)","2018-11-12",1.78
"601 Route 1A (NEW)","2018-09-13",4.02
"601 Route 1A (NEW)","2018-09-14",4.12
"601 Route 1A (NEW)","2018-09-15",2.56
"601 Route 1A (NEW)","2018-09-16",2.94
"603 Route 3A (NEW)","2018-10-13",2.78
"601 Route 1A (NEW)","2018-11-06",6.26
"504 Route 4 (NEW )","2018-09-10",17.54
"501 Route 1 (NEW)","2018-09-13",8.88
"506 Route 6 (NEW)","2018-09-15",5.74
"503 Route 3 (NEW)","2018-09-28",8.28
"504 Route 4 (NEW )","2018-09-29",9.9
"509 Route 9 (NEW)","2018-10-13",1.2
"502 Route 2 (NEW)","2018-10-24",14.14
"502 Route 2 (NEW)","2018-11-15",22.92
"502 Route 2 (NEW)","2018-11-28",16.64
"501 Route 1 (NEW)","2018-11-29",15.88
"503 Route 3 (NEW)","2019-01-21",20.06
"603 Route 3A (NEW)","2018-12-22",5.06
"601 Route 1A (NEW)","2018-10-31",2.02
"602 Route 2A (NEW)","2018-10-31",2.3
"602 Route 2A (NEW)","2018-11-04",1.28
"636 Bring sites","2018-09-11",4.42
"602 Route 2A (NEW)","2018-09-15",4.76
"636 Bring sites","2018-10-04",2.58
"602 Route 2A (NEW)","2018-10-09",5.42
"505 Route 5 (NEW)","2018-09-03",18.6
"505 Route 5 (NEW)","2018-09-30",11.56
