Local Authority	Waste type	Generated	Generated	Generated	Generated	Generated	Generated	Generated	Generated	Prepared for reuse	Prepared for reuse	Prepared for reuse	Prepared for reuse	Prepared for reuse	Prepared for reuse	Prepared for reuse	Prepared for reuse	Recycled	Recycled	Recycled	Recycled	Recycled	Recycled	Recycled	Recycled	Organics recycled	Organics recycled	Organics recycled	Organics recycled	Organics recycled	Organics recycled	Organics recycled	Organics recycled	Recovered by incineration	Recovered by incineration	Recovered by incineration	Recovered by incineration	Recovered by incineration	Recovered by incineration	Recovered by incineration	Recovered by incineration	Recovered by co-incineration	Recovered by co-incineration	Recovered by co-incineration	Recovered by co-incineration	Recovered by co-incineration	Recovered by co-incineration	Recovered by co-incineration	Recovered by co-incineration	Managed by other methods	Managed by other methods	Managed by other methods	Managed by other methods	Managed by other methods	Managed by other methods	Managed by other methods	Managed by other methods	Disposed by incineration	Disposed by incineration	Disposed by incineration	Disposed by incineration	Disposed by incineration	Disposed by incineration	Disposed by incineration	Disposed by incineration	Landfilled	Landfilled	Landfilled	Landfilled	Landfilled	Landfilled	Landfilled	Landfilled
Aberdeenshire	Mineral waste from construction and demolition	6447.02	6289.63	6214.13	6333.61	5335.15	6100.37	4971.94	5367.88	0	0							6447.02	6289.63	6214.13	6333.61	5335.15	6100.37	4971.94	5367.88	0	0							0	0							0	0							0	0							0	0							0	0						
Aberdeenshire	Mixed and undifferentiated materials	20.83	19.29	252.31	6133.22	13958.29	14255.51	14930.38	13209.61	0	0							20.83	19.3	252.31	6072.81	13958.29		428.47		0	0							0	0						642.43	0	0							0	0				0		0.01	0	0				653.89	339.04		0	0		60.41				
Aberdeenshire	Paper and cardboard wastes	13452.36	12480.42	11291.81	7536.16	2737.25	2289.32	1470.03	1382.33	0	0							13452.36	12480.42	11291.81	7536.16	2737.25	12767.1	11751.44	10747.38	0	0							0	0							0	0							0	0							0	0							0	0						
Aberdeenshire	Plastic wastes	1192.27	1200.87	1207.36	751.99	121.05	33.23	13.91	21.05	0	0							1192.27	1200.87	1207.36	751.99	121.05	1843.69	1895.57	1735.03	0	0							0	0							0	0							0	0							0	0							0	0						
Aberdeenshire	Rubber wastes	187.05	177.46			0				0	0							187.05	177.46							0	0							0	0							0	0							0	0							0	0							0	0						
Aberdeenshire	Soils	1148.59	1977.55	2222.44	2166.8	2571.06	2515.01	3186.88	3069.68	0	0							1148.59	1977.55	2222.44	2166.8	2571.06	2515.01	3186.88	3069.68	0	0							0	0							0	0							0	0							0	0							0	0						
Aberdeenshire	Textile wastes	668.98	782.86	730.76	738.59	733.05	702.56	708.44	739.34	0	0			18.87				668.98	782.86	730.76	738.59	714.18	702.56	708.44	739.34	0	0							0	0							0	0							0	0							0	0							0	0						
Aberdeenshire	Used oils	48.28	50.4	44.46	45.36	54	51.88	55.25	57.12	0	0							48.28	50.4	44.46	45.36	54	51.88	55.25	57.12	0	0							0	0							0	0							0	0							0	0							0	0						
Aberdeenshire	Vegetal wastes	9618.83	10118.2	9411.22	10310.23	10210.2	10654.36	10369.52	9695.32	0	0							0	0							9619.2	10118.37	9411.22	10310.23	10210.2	10654.36	10369.52	9695.32	0	0							0	0							0	0							0	0							0	0						
Aberdeenshire	Wood wastes	4088.18	2998.73	3587.18	4316.53	3859.78	4766.28	4514.08	4330.68	0	0							3818.68	1631.1	1725.82	1893.6		991.44			269.51	1367.65	1861.36	2422.93	3859.78	3774.84	4514.08	4330.68	0	0							0	0							0	0							0	0							0	0						
Aberdeenshire	Subtotal	148052.32	134707.87	131809.04	131388.6	130249.33	131863.33	127632.2	120518.79	0	0	37.88	41.81	50.99	1.63			39461.71	36049.65	35508.56	36105.02	35642.27	35704.98	33903.43	31471.03	10272.98	11839.45	11671.62	16331.19	21208.55	21597.93	21810.55	20827.36	0	0				331.63		1270.99	0	0	135.98	141.6	137.67	205.2	169.2	184.32	0	0	33.99	35.62	34.4	53.46	141.65	2.24	0	0				973.78	1686.11	1326.3	98318.02	86818.98	84421.01	78733.36	73175.46	72995.08	69921.28	65436.56
Angus	Animal and mixed food waste	6.36	106.6	393.45	2616.92	4043.34	4060.68	3537.7	3466.53	0	0							6.36	4.86	5.03	5.1	5.67	6.2	5.21	4.73	0	101.74	388.42	2611.82	4037.67	4054.48	3532.49	3461.8	0	0							0	0							0	0							0	0							0	0						
Angus	Batteries and accumulators wastes	23.22	17.01	19.8	22.23	18.19	22.09	15.67	4.61	0	0							23.22	17.01	19.8	22.23	18.19	22.09	15.67	4.61	0	0							0	0							0	0							0	0							0	0							0	0						
Angus	Chemical wastes	5.87	5.21	7.51	13.14	7.24	7.81	6.43	5.12	0	0							5.87	5.21	7.51	13.14	7.24	7.81	6.43	5.12	0	0							0	0							0	0							0	0							0	0							0	0						
Angus	Combustion wastes	0	0	0	0	0	0	0	0	0	0							0	0							0	0							0	0							0	0							121.64	0	1171.31	1690.07	1550.91	2171.66	1760.4	4257.48	0	0							3272.76	1223.15		149.38	1087.34	288.33	1232.11	1551.85
Angus	Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)	1279.16	1107.81	1209.64	1162.19	1238.87	1257.57	1165.37	1068.79	0	0							1279.16	1107.81	1209.64	1162.19	1238.87	1257.57	1165.37	1076.24	0	0							0	0							0	0							0	0							0	0							0	0						
Angus	Discarded vehicles	36.9	32.32	4.86	23.01	30.47	29.28	25.04	16.54	0	0				10.01	8.5	16.54	36.9	32.32	4.86	23.01	30.47	19.27	16.54		0	0							0	0							0	0							0	0							0	0							0	0						
Angus	Glass wastes	2297.23	2118.2	1917.13	1101.13	198.41	227.21	192.83	195.54	0	0					141.89		2297.23	2171.07	2272.58	2908.1	2745.24	2874.76	2327.54	2447.53	0	0							0	0							0	0							0	0							0	0							0	0						
Angus	Health care and biological wastes	0	0							0	0							0	0							0	0							0	0							0	0							0	0							0	0							0	0						
Angus	Household and similar wastes	36435.36	36687.07	30772.22	27808.29	23004.31	24940.99	24294.78	24390	0	0				347.62			239.02	275.14	0	0	0			164.71	0	0	0		0				0	0				102.74	65.71		0	0							0	0			0			0	12879.19	3409.84	4239.06	10844.68	8514.96	7609.17	9011.38	18088.64	19452.07	31623.31	25194.52	14733.09	11586.42	14956.63	12111.33	807.47
